# Ideographic Description Sequences (IDS) for BabelStone Han PUA
# URL: https://babelstone.co.uk/CJK/IDS_PUA.TXT
# Font: https://www.babelstone.co.uk/Fonts/PUA.html
# Version 1.292 (2021-03-16)
#
U+E13B		^⿱雨玃$
U+E13C		^⿱雨𡂪$
U+E13D		^⿱雨叹$
U+E13E		^⿱雨鏡$
U+E13F		^⿱雨啊$
U+E140		^⿰口獨$
U+E141		^⿰口韓$
U+E142		^⿰口功$
U+E143		^⿱雨⿺鬼維$
U+E144		^⿱雨⿺鬼冏$
U+E145		^⿱雨𮫣$
U+E146		^⿱雨⿺鬼水$
U+E147		^⿱雨⿺鬼永$
U+E148		^⿱雨⿺鬼開$
U+E149		^⿱雨⿺鬼攝$
U+E14A		^⿱雨⿺鬼化$
U+E14B		^⿱雨亘$
U+E14C		^⿱雨⿺鬼𤰜$
U+E14D		^⿱雨𩵄$
U+E14E		^⿱雨車$
U+E14F		^⿱雨𤰜$
U+E150		^⿱雨⿺鬼扇$
U+E151		^⿰口𦸰$
U+E153		^⿱雨⿰𧥛⿵𠔼𠃌$
U+E152		^⿰訁⿵冂𠃌$
U+E154		^⿰口明$
U+E155		^⿱雨訛$
U+E156		^⿰女邪$
U+E157		^⿰口𫆀$
U+E158		^⿰口娑$
U+E159		^⿰口訶$
U+E15A		^⿱雨⿰飠知$
U+E15B		^⿱雨⿰飠化$
U+E15C		^⿱丅冂$
U+E15D		^⿱雨哈$
U+E15E		^⿱雨⿰口明$
U+E15F		^⿱雨啼$
U+E160		^⿱雨𠯐$
U+E161		^⿱雨森$
U+E162		^⿱雨炎$
U+E163		^⿱雨圭$
U+E164		^⿱雨釗$
U+E165		^⿱雨潤$
U+E166		^⿺鬼旨$
U+E167		^⿺鬼天$
U+E168		^⿺鬼尊$
U+E169		^⿺鬼勝$
U+E16A		^⿺鬼化$
U+E16B		^⿺鬼元$
U+E16C		^⿺鬼聿$
U+E16D		^⿺鬼星$
U+E16E		^⿺鬼白$
U+E16F		^⿺鬼飛$
