# Ideographic Description Sequences (IDS) for Tangut Ideographs
# URL: http://babelstone.co.uk/Tangut/TangutIDS.TXT
# Date: 2018-01-08
# Unicode Version: 10.0 (6,125 entries)
#
# Notes
# 1. This file is compiled by Andrew West. It is not copyrighted, and may be used freely for any purpose without asking permission.
#
# 2. This version of the file provides IDS sequences for the 6,125 Tangut ideographs defined in Unicode version 10.0 (released June 2017). The Tangut characters are best viewed using the latest version of the Tangut Yinchuan font, which may be downloaded for free from http://www.babelstone.co.uk/Fonts/Yinchuan.html.
#
# 3. IDS sequences start with ^ and end with $. Some characters have more than one tab-separated IDS sequence, corresponding to variant forms of the character. The first IDS sequence corresponds to the Unicode code chart form of the character; subsequent IDS sequences correspond to glyph forms that are candidates for definition as Ideographic Variation Sequences (IVS).
#
# 4. Corrections to the glyph form shown in the current Unicode code chart are marked with an asterisk (*). Note that the corrected IDS sequences for the following Tangut ideographs are not reflected in the latest release version of the Tangut Yinchuan font: 1732C, 173C6, 1814A, 182E6.
#
# 5. The following Tangut components have a corrected glyph structure that is not reflected in the current version of the Unicode code chart:
#	18A28 𘨨 = ⿱𘡎𘢏
#	18A8A 𘪊 = ⿱𘠛𘤬
#	18AAF 𘪯 = ⿱𘢿𘡪
#	18ADF 𘫟 = ⿱𘤬𘣗
#
# 6. IDS sequences on this page use only the following characters:
#	Ideographic Description Characters
#	Tangut Components
#	CJK Strokes
#	？ (fullwidth question mark)
#	〾 (used to indicate that the following Tangut component is only approximate)
#
# Tangut (6,125 characters)
U+17050	𗁐	^⿲𘠁𘠣𘣩$
U+17051	𗁑	^⿲𘠁𘡫𘢌$
U+17052	𗁒	^⿰𘠁⿱𘠀⿲𘡃𘠁𘡃$
U+17053	𗁓	^⿲𘠁𘡱𘢞$
U+17054	𗁔	^⿲𘠁𘢌𘡫$
U+17055	𗁕	^⿰𘠁⿺𘢍𘡫$
U+17056	𗁖	^⿰𘠁⿺𘢍⿰𘡃𘠅$
U+17057	𗁗	^⿲𘠁𘢌𘢶$
U+17058	𗁘	^⿰𘠁⿰𘡃⿰𘠌𘡃$	^⿰𘠁⿰𘡄⿰𘠌𘡃$
U+17059	𗁙	^⿲𘠁𘤕𘡀$
U+1705A	𗁚	^⿲𘠁𘤕𘡔$
U+1705B	𗁛	^⿰𘠁⿱𘡊⿰𘠳𘠢$
U+1705C	𗁜	^⿲𘠁𘦖𘠢$	^⿲𘠁𘤜𘠢$
U+1705D	𗁝	^⿲𘠁𘤬𘠴$
U+1705E	𗁞	^⿲𘠁𘤱𘡃$
U+1705F	𗁟	^⿲𘠁𘢰𘢒$
U+17060	𗁠	^⿲𘠁𘢷𘢌$
U+17061	𗁡	^⿰𘠁𘪏$
U+17062	𗁢	^⿰𘠁𘪖$
U+17063	𗁣	^⿲𘠁𘣇𘢌$
U+17064	𗁤	^⿲𘠁𘣇𘢷$
U+17065	𗁥	^⿲𘠁⿱𘠀𘠨𘥇$
U+17066	𗁦	^⿲𘠁𘠨𘦳$
U+17067	𗁧	^⿲𘠁𘣠𘡧$
U+17068	𗁨	^⿲𘠁𘡰𘣣$
U+17069	𗁩	^⿲𘠁𘡱𘥁$
U+1706A	𗁪	^⿲𘠁𘢌𘣟$
U+1706B	𗁫	^⿲𘠁𘢌𘤄$
U+1706C	𗁬	^⿲𘠁𘢌𘤏$
U+1706D	𗁭	^⿲𘠁𘤆𘡲$
U+1706E	𗁮	^⿲𘠁𘢌𘤥$
U+1706F	𗁯	^⿲𘠁𘤕𘡤$
U+17070	𗁰	^⿲𘠁𘤕𘢌$
U+17071	𗁱	^⿲𘠁𘢡𘤃$
U+17072	𗁲	^⿲𘠁𘢡𘤕$
U+17073	𗁳	^⿲𘠁𘢡𘤾$
U+17074	𗁴	^⿲𘠁𘢡𘥇$
U+17075	𗁵	^⿲𘠁𘢡𘥖$
U+17076	𗁶	^⿲𘠁𘦳𘠳$
U+17077	𗁷	^⿲𘠁𘦳𘠴$
U+17078	𗁸	^⿲𘠁𘤬𘣈$
U+17079	𗁹	^⿲𘠁𘧀𘡃$
U+1707A	𗁺	^⿰𘠁⿱𘢸𘣒$
U+1707B	𗁻	^⿰𘠁⿰𘠣⿰𘤊𘠢$
U+1707C	𗁼	^⿰𘠁⿰𘠨⿰𘢌𘠨$
U+1707D	𗁽	^⿰𘠁⿱𘡩⿰𘡡𘠡$
U+1707E	𗁾	^⿲𘠁𘢌𘦃$
U+1707F	𗁿	^⿰𘠁⿺𘢍𘦃$
U+17080	𗂀	^⿲𘠁𘢌𘧓$
U+17081	𗂁	^⿲𘠁𘤕𘣣$
U+17082	𗂂	^⿰𘠁⿰𘤟⿰𘠁𘢌$
U+17083	𗂃	^⿰𘠁⿺𘢦𘦳$
U+17084	𗂄	^⿲𘠁𘦳𘡧$
U+17085	𗂅	^⿲𘠁𘦳𘢌$
U+17086	𗂆	^⿲𘠁𘦳𘢓$
U+17087	𗂇	^⿲𘠁𘦳𘢞$
U+17088	𗂈	^⿲𘠁𘦳𘢶$
U+17089	𗂉	^⿲𘠁𘦳𘣀$
U+1708A	𗂊	^⿲𘠁𘤬𘣵$
U+1708B	𗂋	^⿲𘠁𘤬𘤹$
U+1708C	𗂌	^⿰𘠁⿱𘡎⿰𘠡𘥍$
U+1708D	𗂍	^⿰𘠁𘫙$	^⿰𘠁⿱𘡣𘧱$
U+1708E	𗂎	^⿲𘠁𘣎𘥿$
U+1708F	𗂏	^⿲𘠁𘡦𘨈$
U+17090	𗂐	^⿰𘠁⿱𘡩⿰𘠡𘤧$
U+17091	𗂑	^⿲𘠁𘣚𘦳$
U+17092	𗂒	^⿰𘠁⿺𘣛𘦳$
U+17093	𗂓	^⿲𘠁𘣠𘧓$	^⿲𘠁𘥤𘧓$
U+17094	𗂔	^⿲𘠁𘣥𘦉$
U+17095	𗂕	^⿲𘠁𘢌𘨟$
U+17096	𗂖	^⿲𘠁𘤊𘥿$
U+17097	𗂗	^⿲𘠁𘤕⿱𘠊𘢏$*
U+17098	𗂘	^⿲𘠁𘤕𘦢$
U+17099	𗂙	^⿲𘠁𘨃𘢌$
U+1709A	𗂚	^⿲𘠁𘨆𘡧$
U+1709B	𗂛	^⿲𘠁𘦖𘤾$
U+1709C	𗂜	^⿲𘠁𘦢𘣸$
U+1709D	𗂝	^⿲𘠁𘫎𘠢$*
U+1709E	𗂞	^⿲𘠁𘨟𘡯$
U+1709F	𗂟	^⿲𘠁𘦳𘣩$
U+170A0	𗂠	^⿲𘠁𘦳𘤆$
U+170A1	𗂡	^⿲𘠁𘦳𘤔$
U+170A2	𗂢	^⿲𘠁𘦳𘤕$
U+170A3	𗂣	^⿰𘠁⿰𘤻⿰𘡤𘠢$
U+170A4	𗂤	^⿲𘠁𘤻𘥝$
U+170A5	𗂥	^⿲𘠁𘤻𘥱$
U+170A6	𗂦	^⿲𘠁𘣀𘨃$
U+170A7	𗂧	^⿲𘠁𘠣𘪸$
U+170A8	𗂨	^⿰𘠁⿰⿱𘠀𘠨⿰𘢡𘢓$
U+170A9	𗂩	^⿰𘠁⿰𘤃⿰𘥇𘠢$
U+170AA	𗂪	^⿲𘠁𘤄𘨷$
U+170AB	𗂫	^⿲𘠁𘤕𘨼$
U+170AC	𗂬	^⿲𘠁𘢡⿱𘣘𘡃$
U+170AD	𗂭	^⿲𘠁𘨃𘣮$
U+170AE	𗂮	^⿲𘠁𘨃𘣵$
U+170AF	𗂯	^⿲𘠁𘨃𘤫$
U+170B0	𗂰	^⿰𘠁⿰𘢢⿰𘢌𘢰$
U+170B1	𗂱	^⿰𘠁⿱𘡊⿲𘠡𘤧𘠢$
U+170B2	𗂲	^⿲𘠁𘨎𘤔$
U+170B3	𗂳	^⿰𘠁⿱𘨝𘣧$
U+170B4	𗂴	^⿰𘠁𘫨$
U+170B5	𗂵	^⿲𘠁𘪲𘠴$
U+170B6	𗂶	^⿲𘠁𘦳𘦑$
U+170B7	𗂷	^⿲𘠁𘦳𘦡$
U+170B8	𗂸	^⿲𘠁𘦳𘦳$
U+170B9	𗂹	^⿲𘠁𘦳𘧀$
U+170BA	𗂺	^⿲𘠁𘦳𘧁$
U+170BB	𗂻	^⿲𘠁𘤕𘩗$
U+170BC	𗂼	^⿲𘠁𘨆𘦇$
U+170BD	𗂽	^⿲𘠁𘨆𘦙$
U+170BE	𗂾	^⿲𘠁𘦦𘨱$
U+170BF	𗂿	^⿲𘠁𘦳𘧦$
U+170C0	𗃀	^⿰𘠁⿰𘢷⿰𘤬𘣈$	^⿰𘠁⿰𘢷⿰𘦳𘣈$
U+170C1	𗃁	^⿲𘠁𘪎𘤘$
U+170C2	𗃂	^⿰𘠁⿰𘨃⿰𘡔𘡡$
U+170C3	𗃃	^⿲𘠁𘦳⿱𘠊⿰𘡤𘠢$
U+170C4	𗃄	^⿲𘠁𘤷𘪽$
U+170C5	𗃅	^⿲𘠁𘪢𘦲$
U+170C6	𗃆	^⿲𘠁𘢡𘫕$
U+170C7	𗃇	^⿰𘠁⿰𘨃⿰𘡃𘤔$
U+170C8	𗃈	^⿰𘠁⿰𘢡⿰𘤻𘦜$
U+170C9	𗃉	^⿰𘠁⿱𘨝⿰𘢰𘢞$
U+170CA	𗃊	^⿲𘠁𘦳𘪴$
U+170CB	𗃋	^⿲𘠁𘦳𘪷$
U+170CC	𗃌	^⿲𘠁𘦳⿱𘠛𘧱$
U+170CD	𗃍	^⿰𘠁⿱𘢸⿲𘢌𘠮𘢌$
U+170CE	𗃎	^⿰𘠁𘫲$
